user_id,week_start,event_count,distinct_features,days_since_last_activity,baseline,trend_slope,half_life_weeks
user_0,2025-11-17,3.0,2.0,1,6.25,0.0,inf
user_0,2025-11-24,10.0,3.0,0,6.25,6.999999999999998,inf
user_0,2025-12-01,10.0,4.0,1,6.25,3.4999999999999982,inf
user_0,2025-12-08,2.0,2.0,6,6.25,-0.30000000000000004,0.0
user_0,2025-12-15,0.0,0.0,13,6.25,-1.3999999999999997,0.0
user_0,2025-12-22,0.0,0.0,20,6.25,-1.514285714285714,0.0
user_0,2025-12-29,0.0,0.0,27,6.25,-1.3928571428571426,0.0
user_0,2026-01-05,0.0,0.0,34,6.25,-1.2261904761904765,0.0
user_0,2026-01-12,0.0,0.0,41,6.25,-1.5000000000000007,0.0
user_0,2026-01-19,0.0,0.0,48,6.25,-0.9523809523809527,0.0
user_0,2026-01-26,0.0,0.0,55,6.25,-0.16666666666666674,0.0
user_0,2026-02-02,0.0,0.0,62,6.25,0.0,inf
user_1,2026-05-04,1.0,1.0,1,0.25,0.0,inf
user_1,2026-05-11,0.0,0.0,8,0.25,-0.9999999999999998,0.0
user_1,2026-05-18,0.0,0.0,15,0.25,-0.4999999999999998,0.0
user_1,2026-05-25,0.0,0.0,22,0.25,-0.29999999999999993,0.0
user_1,2026-06-01,1.0,1.0,2,0.25,-3.510833468576701e-17,inf
user_1,2026-06-08,0.0,0.0,9,0.25,-0.05714285714285721,0.0
user_1,2026-06-15,2.0,2.0,1,0.25,0.14285714285714282,inf
user_1,2026-06-22,3.0,2.0,0,0.25,0.29761904761904767,inf
user_1,2026-06-29,1.0,1.0,4,0.25,0.3214285714285715,inf
user_1,2026-07-06,0.0,0.0,11,0.25,0.15476190476190485,inf
user_1,2026-07-13,1.0,1.0,4,0.25,0.07142857142857144,inf
user_1,2026-07-20,2.0,2.0,3,0.25,0.04761904761904764,inf
user_1,2026-07-27,2.0,2.0,2,0.25,0.08333333333333341,inf
user_1,2026-08-03,1.0,1.0,6,0.25,-0.09523809523809527,9.187499999999996
user_1,2026-08-10,0.0,0.0,13,0.25,-0.16666666666666674,0.0
user_10,2025-09-22,4.0,2.0,0,5.5,0.0,inf
user_10,2025-09-29,6.0,3.0,0,5.5,1.9999999999999996,inf
user_10,2025-10-06,6.0,3.0,0,5.5,0.9999999999999996,inf
user_10,2025-10-13,6.0,4.0,1,5.5,0.5999999999999999,inf
user_10,2025-10-20,7.0,3.0,0,5.5,0.6,inf
user_10,2025-10-27,0.0,0.0,7,5.5,-0.48571428571428565,0.0
user_10,2025-11-03,0.0,0.0,14,5.5,-0.8214285714285713,0.0
user_10,2025-11-10,0.0,0.0,21,5.5,-0.892857142857143,0.0
user_10,2025-11-17,0.0,0.0,28,5.5,-1.154761904761905,0.0
user_10,2025-11-24,0.0,0.0,35,5.5,-1.1071428571428574,0.0
user_10,2025-12-01,0.0,0.0,42,5.5,-0.916666666666667,0.0
user_10,2025-12-08,0.0,0.0,49,5.5,-0.5833333333333334,0.0
user_10,2025-12-15,0.0,0.0,56,5.5,0.0,inf
user_10,2025-12-22,0.0,0.0,63,5.5,0.0,inf
user_100,2025-11-24,1.0,1.0,0,2.25,0.0,inf
user_100,2025-12-01,3.0,2.0,0,2.25,1.9999999999999996,inf
user_100,2025-12-08,1.0,1.0,6,2.25,-1.570092458683775e-16,inf
user_100,2025-12-15,4.0,3.0,0,2.25,0.7,inf
user_100,2025-12-22,4.0,3.0,0,2.25,0.7000000000000001,inf
