user_id,signup_date,plan_tier
user_0,2025-11-20,pro
user_1,2026-05-07,pro
user_2,2026-02-14,basic
user_3,2025-12-09,basic
user_4,2025-11-05,basic
user_5,2026-01-08,pro
user_6,2026-04-24,pro
user_7,2026-05-30,basic
user_8,2026-05-13,pro
user_9,2025-08-31,basic
user_10,2025-09-27,basic
user_11,2026-01-26,basic
user_12,2026-02-13,basic
user_13,2026-02-15,basic
user_14,2025-09-29,basic
user_15,2026-04-10,basic
user_16,2025-12-18,pro
user_17,2025-12-22,basic
user_18,2026-01-23,basic
user_19,2025-11-06,enterprise
user_20,2026-04-08,basic
user_21,2025-10-01,basic
user_22,2025-11-09,basic
user_23,2026-04-30,basic
user_24,2026-03-03,basic
user_25,2025-09-28,pro
user_26,2025-08-11,basic
user_27,2025-10-02,basic
user_28,2026-02-16,pro
user_29,2025-09-22,enterprise
user_30,2026-05-06,pro
user_31,2026-05-07,basic
user_32,2026-03-12,basic
user_33,2026-02-15,basic
user_34,2026-03-05,pro
user_35,2025-10-01,basic
user_36,2026-03-14,basic
user_37,2025-09-19,basic
user_38,2025-10-13,basic
user_39,2025-08-18,pro
user_40,2025-12-23,basic
user_41,2025-12-26,basic
user_42,2026-01-19,pro
user_43,2026-04-27,enterprise
user_44,2025-09-19,enterprise
user_45,2026-02-26,pro
user_46,2025-09-11,basic
user_47,2025-10-10,basic
user_48,2025-11-16,basic
user_49,2026-03-11,pro
user_50,2026-03-24,basic
user_51,2025-12-18,pro
user_52,2026-03-15,basic
user_53,2026-05-19,basic
user_54,2025-08-24,basic
user_55,2026-02-04,basic
user_56,2026-03-28,basic
user_57,2025-11-13,pro
user_58,2026-03-28,basic
user_59,2026-01-27,basic
user_60,2025-08-22,basic
user_61,2026-02-12,pro
user_62,2026-05-20,enterprise
user_63,2025-09-23,basic
user_64,2025-12-21,basic
user_65,2025-11-25,basic
user_66,2026-05-22,pro
user_67,2025-12-15,pro
user_68,2026-03-28,enterprise
user_69,2026-05-19,basic
user_70,2025-12-03,basic
user_71,2026-04-25,basic
user_72,2025-12-24,basic
user_73,2026-03-22,basic
user_74,2026-01-28,basic
user_75,2026-01-16,basic
user_76,2026-03-30,basic
user_77,2025-09-30,basic
user_78,2026-05-31,basic
user_79,2025-11-30,basic
user_80,2025-10-29,basic
user_81,2025-08-11,basic
user_82,2025-10-02,basic
user_83,2026-03-21,enterprise
user_84,2025-12-13,basic
user_85,2026-01-28,basic
user_86,2026-02-23,basic
user_87,2026-02-28,basic
user_88,2026-04-21,pro
user_89,2025-11-15,pro
user_90,2026-04-06,pro
user_91,2026-02-26,basic
user_92,2026-04-25,basic
user_93,2026-01-03,basic
user_94,2026-02-24,basic
user_95,2025-12-15,basic
user_96,2025-12-16,pro
user_97,2026-01-07,basic
user_98,2026-06-03,basic
user_99,2026-04-18,basic
user_100,2025-11-29,basic
user_101,2025-10-08,basic
user_102,2026-04-20,pro
user_103,2025-09-15,pro
user_104,2025-08-18,basic
user_105,2026-01-03,pro
user_106,2025-12-18,pro
user_107,2025-10-02,pro
user_108,2025-12-03,basic
user_109,2025-11-21,pro
user_110,2026-03-24,basic
user_111,2025-11-16,enterprise
user_112,2026-02-19,pro
user_113,2026-03-05,enterprise
user_114,2026-01-17,basic
user_115,2026-05-13,basic
user_116,2025-12-22,pro
user_117,2025-12-15,basic
user_118,2025-08-31,basic
user_119,2025-09-16,enterprise
user_120,2025-09-29,pro
user_121,2026-05-19,basic
user_122,2026-05-13,basic
user_123,2026-05-20,pro
user_124,2026-01-03,basic
user_125,2026-02-17,pro
user_126,2025-08-26,enterprise
user_127,2026-01-14,enterprise
user_128,2025-08-15,basic
user_129,2026-03-30,enterprise
user_130,2026-02-06,basic
user_131,2026-02-13,pro
user_132,2026-02-16,basic
user_133,2026-01-17,basic
user_134,2025-12-15,basic
user_135,2026-03-20,pro
user_136,2026-01-30,basic
user_137,2026-05-24,pro
user_138,2026-01-07,basic
user_139,2026-01-11,basic
user_140,2026-05-09,pro
user_141,2026-06-04,pro
user_142,2025-09-17,basic
user_143,2026-04-13,basic
user_144,2025-08-22,basic
user_145,2025-09-14,pro
user_146,2026-04-30,pro
user_147,2025-12-29,pro
user_148,2025-12-30,basic
user_149,2026-05-24,basic
user_150,2025-09-29,basic
user_151,2025-10-11,enterprise
user_152,2026-01-06,basic
user_153,2026-02-05,basic
user_154,2026-05-07,basic
user_155,2025-11-18,basic
user_156,2025-10-01,basic
user_157,2025-11-25,pro
user_158,2026-02-21,pro
user_159,2025-09-25,pro
user_160,2025-12-31,enterprise
user_161,2025-12-11,pro
user_162,2026-01-03,pro
user_163,2026-05-11,basic
user_164,2026-03-26,basic
user_165,2026-05-15,basic
user_166,2025-12-16,basic
user_167,2025-08-10,basic
user_168,2025-11-13,basic
user_169,2025-09-26,basic
user_170,2026-04-03,basic
user_171,2026-05-08,basic
user_172,2026-02-17,basic
user_173,2026-05-14,pro
user_174,2025-10-24,basic
user_175,2025-11-03,basic
user_176,2026-03-17,basic
user_177,2025-11-11,pro
user_178,2026-03-01,basic
user_179,2025-09-17,basic
user_180,2026-04-20,basic
user_181,2025-09-01,basic
user_182,2026-04-12,pro
user_183,2026-05-26,basic
user_184,2026-04-16,enterprise
user_185,2025-11-13,pro
user_186,2025-08-13,pro
user_187,2026-04-13,enterprise
user_188,2026-01-16,enterprise
user_189,2026-01-08,pro
user_190,2026-01-19,pro
user_191,2026-02-04,pro
user_192,2026-05-04,basic
user_193,2026-01-24,enterprise
user_194,2025-09-22,basic
user_195,2025-08-21,basic
user_196,2026-04-19,basic
user_197,2025-09-13,basic
user_198,2025-11-07,basic
user_199,2025-11-07,basic
user_200,2025-12-02,basic
user_201,2026-02-21,pro
user_202,2025-12-01,pro
user_203,2026-03-14,pro
user_204,2026-04-15,basic
user_205,2026-02-17,basic
user_206,2025-11-16,basic
user_207,2025-11-13,basic
user_208,2026-02-15,basic
user_209,2026-05-04,basic
user_210,2025-08-22,pro
user_211,2026-05-22,enterprise
user_212,2025-10-10,basic
user_213,2026-03-14,basic
user_214,2026-02-12,basic
user_215,2025-11-17,basic
user_216,2026-03-30,pro
user_217,2026-05-01,basic
user_218,2026-03-03,pro
user_219,2025-09-30,basic
user_220,2025-12-31,basic
user_221,2025-11-16,pro
user_222,2025-10-01,pro
user_223,2025-10-05,basic
user_224,2026-02-06,basic
user_225,2026-03-20,basic
user_226,2026-01-19,pro
user_227,2026-04-01,pro
user_228,2026-04-05,basic
user_229,2025-10-22,pro
user_230,2026-04-19,pro
user_231,2026-01-30,pro
user_232,2026-01-26,basic
user_233,2026-05-19,pro
user_234,2025-08-14,basic
user_235,2025-12-23,basic
user_236,2026-01-01,enterprise
user_237,2026-03-14,basic
user_238,2026-05-28,basic
user_239,2026-05-11,pro
user_240,2026-02-07,pro
user_241,2026-02-27,enterprise
user_242,2025-09-17,basic
user_243,2026-01-29,basic
user_244,2026-03-17,basic
user_245,2026-01-04,basic
user_246,2025-08-10,pro
user_247,2026-02-15,basic
user_248,2025-12-04,enterprise
user_249,2025-09-22,enterprise
user_250,2026-01-29,basic
user_251,2026-01-05,basic
user_252,2026-03-10,enterprise
user_253,2026-03-26,basic
user_254,2026-01-03,enterprise
user_255,2025-09-25,pro
user_256,2025-08-23,basic
user_257,2025-08-10,pro
user_258,2026-04-25,enterprise
user_259,2025-08-21,enterprise
user_260,2026-05-08,pro
user_261,2026-01-12,basic
user_262,2025-12-09,basic
user_263,2025-11-07,basic
user_264,2026-02-03,basic
user_265,2025-09-19,basic
user_266,2026-01-01,basic
user_267,2026-03-09,pro
user_268,2026-04-06,basic
user_269,2025-09-24,basic
user_270,2025-10-30,basic
user_271,2026-02-22,pro
user_272,2025-08-19,enterprise
user_273,2026-04-08,basic
user_274,2025-08-14,basic
user_275,2026-05-25,pro
user_276,2026-01-02,enterprise
user_277,2026-02-02,basic
user_278,2026-05-18,basic
user_279,2026-05-19,basic
user_280,2025-11-15,basic
user_281,2025-08-15,pro
user_282,2026-02-22,enterprise
user_283,2026-04-25,basic
user_284,2025-10-01,enterprise
user_285,2025-10-31,basic
user_286,2025-10-26,basic
user_287,2025-08-10,enterprise
user_288,2026-03-02,basic
user_289,2026-05-24,basic
user_290,2025-11-12,basic
user_291,2026-01-10,basic
user_292,2025-12-05,pro
user_293,2026-05-04,pro
user_294,2026-04-02,basic
user_295,2026-03-19,pro
user_296,2025-11-29,basic
user_297,2026-03-04,pro
user_298,2025-10-14,pro
user_299,2025-11-20,basic
user_300,2026-04-18,enterprise
user_301,2025-11-15,pro
user_302,2026-04-15,basic
user_303,2025-09-08,pro
user_304,2025-09-29,pro
user_305,2026-05-21,basic
user_306,2026-02-09,pro
user_307,2026-05-09,basic
user_308,2025-10-17,enterprise
user_309,2025-10-01,basic
user_310,2025-12-13,pro
user_311,2026-04-06,basic
user_312,2025-11-28,basic
user_313,2026-02-08,basic
user_314,2025-08-17,basic
user_315,2026-02-09,basic
user_316,2026-02-20,basic
user_317,2026-01-16,basic
user_318,2025-12-09,basic
user_319,2026-05-13,basic
user_320,2025-11-09,basic
user_321,2025-08-31,basic
user_322,2025-08-10,basic
user_323,2025-08-21,basic
user_324,2025-09-12,basic
user_325,2026-03-15,pro
user_326,2025-10-21,basic
user_327,2025-09-25,pro
user_328,2026-04-05,basic
user_329,2025-11-24,enterprise
user_330,2025-10-09,basic
user_331,2026-05-28,pro
user_332,2025-11-30,basic
user_333,2026-02-05,basic
user_334,2025-12-14,enterprise
user_335,2025-08-23,pro
user_336,2025-10-26,basic
user_337,2026-01-10,basic
user_338,2025-08-16,pro
user_339,2026-04-04,pro
user_340,2026-05-10,basic
user_341,2026-03-24,basic
user_342,2026-02-17,basic
user_343,2025-09-06,basic
user_344,2026-05-09,basic
user_345,2025-12-13,basic
user_346,2026-01-01,basic
user_347,2025-09-03,pro
user_348,2025-10-15,pro
user_349,2026-01-02,basic
user_350,2025-11-28,pro
user_351,2025-11-28,pro
user_352,2026-04-02,basic
user_353,2025-11-18,basic
user_354,2026-05-18,pro
user_355,2026-03-26,enterprise
user_356,2026-01-06,basic
user_357,2025-10-18,basic
user_358,2025-08-13,pro
user_359,2025-11-12,basic
user_360,2025-12-24,basic
user_361,2026-04-09,basic
user_362,2026-03-26,enterprise
user_363,2026-03-20,pro
user_364,2026-03-17,enterprise
user_365,2025-12-21,enterprise
user_366,2025-11-11,basic
user_367,2025-10-10,enterprise
user_368,2026-02-28,basic
user_369,2026-01-29,pro
user_370,2025-12-05,pro
user_371,2026-03-09,basic
user_372,2025-11-30,basic
user_373,2025-08-10,pro
user_374,2025-09-16,basic
user_375,2025-12-26,enterprise
user_376,2026-04-25,basic
user_377,2026-02-03,basic
user_378,2026-04-27,basic
user_379,2026-01-28,basic
user_380,2026-01-24,pro
user_381,2025-11-18,basic
user_382,2026-05-01,basic
user_383,2025-09-16,basic
user_384,2025-11-11,basic
user_385,2025-10-17,pro
user_386,2026-04-02,basic
user_387,2025-12-24,basic
user_388,2025-09-13,enterprise
user_389,2025-10-08,pro
user_390,2026-05-03,pro
